Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	myotome somite 26	definition	Portion of somite 16 that gives rise to body wall muscle masses.
ERROR	duplicate_definition	myotome somite 16	definition	Portion of somite 16 that gives rise to body wall muscle masses.
ERROR	duplicate_definition	posterior lateral line	definition	<One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/lat_line/lat_line.html'>lateral line</a> by T. Whitfield.)>
ERROR	duplicate_definition	dorsal lateral line	definition	<One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/lat_line/lat_line.html'>lateral line</a> by T. Whitfield.)>
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/zfa.owl	dc11:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/zfa.owl	dc11:title	
WARN	annotation_whitespace	corpus cerebelli	has_exact_synonym	corpus cerebelli granular layer 
WARN	annotation_whitespace	superior caudal dorsal flexor	has_exact_synonym	flexor caudalis dorsalis superioris  
WARN	annotation_whitespace	upper oral valve	has_exact_synonym	upper semilunar valve 
WARN	annotation_whitespace	dilatator operculi	has_exact_synonym	 dilatator opercula
WARN	annotation_whitespace	facial lobe	has_related_synonym	tuberculum impar of Herrick 
WARN	annotation_whitespace	posttemporal	has_related_synonym	post-temporal 
WARN	annotation_whitespace	statoacoustic (VIII) ganglion	has_exact_synonym	octaval ganglion 
WARN	annotation_whitespace	torus semicircularis	has_exact_synonym	semicircular torus 
WARN	annotation_whitespace	ventral transverse	has_exact_synonym	transversus ventralis 
WARN	annotation_whitespace	caudal hypothalamic zone	has_exact_synonym	hypothalamus pars tuberalis 
WARN	annotation_whitespace	telencephalic ventricle	has_exact_synonym	ventriculi telencephali 
WARN	annotation_whitespace	intestinal bulb	has_exact_synonym	 pseudogaster 
WARN	annotation_whitespace	myocardium	has_related_synonym	heart muscle 
WARN	annotation_whitespace	choroid plexus third ventricle	has_exact_synonym	diencephalic choroid plexus 
WARN	annotation_whitespace	pronephric glomerulus	has_exact_synonym	pronephric glomus 
WARN	annotation_whitespace	preural centrum 1+ ural centrum 1	has_related_synonym	urostyle 
WARN	annotation_whitespace	caudal fin procurrent ray	has_related_synonym	caudal procurrent ray 
WARN	annotation_whitespace	dorsal fin radial	has_related_synonym	dorsal fin pterygiophore 
WARN	annotation_whitespace	head muscle	has_related_synonym	cranial muscle 
WARN	annotation_whitespace	solid lens vesicle	has_exact_synonym	 immature lens
WARN	annotation_whitespace	scale primordium	has_exact_synonym	scale primordia 
WARN	annotation_whitespace	aortic arch	has_exact_synonym	branchial aortic arches 
WARN	annotation_whitespace	ventral wall of dorsal aorta	has_exact_synonym	DA-PCV joint 
WARN	annotation_whitespace	peripheral cardiac conduction system	has_related_synonym	distal conduction system 
WARN	annotation_whitespace	dentine	has_exact_synonym	dentin 
WARN	annotation_whitespace	MiD2i	has_exact_synonym	middle dorsal 2 ipsilateral interneuron 
WARN	annotation_whitespace	MiD2cl	has_exact_synonym	middle dorsal 2 contralateral llf interneuron 
WARN	annotation_whitespace	MiD2cm	has_exact_synonym	middle dorsal 2 contralateral mlf interneuron 
WARN	annotation_whitespace	MiM1	has_exact_synonym	middle medial interneuron 
WARN	annotation_whitespace	MiR1	has_exact_synonym	middle rostral 1 interneuron 
WARN	annotation_whitespace	MiR2	has_exact_synonym	middle rostral 2 interneuron 
WARN	annotation_whitespace	MiV1	has_exact_synonym	middle ventral 1 neuron 
WARN	annotation_whitespace	MiV2	has_exact_synonym	middle ventral 2 neuron 
WARN	annotation_whitespace	RoI2C	has_exact_synonym	rostral intermediate 2 caudal interneuron 
WARN	annotation_whitespace	RoI2R	has_exact_synonym	rostral intermediate 2 rostral interneuron 
WARN	annotation_whitespace	RoL1	has_exact_synonym	rostral lateral 1 interneuron 
WARN	annotation_whitespace	MiD3cl	has_exact_synonym	middle dorsal 3 contralateral llf interneuron 
WARN	annotation_whitespace	MiD3cm	has_exact_synonym	middle dorsal 3 contralateral mlf interneuron 
WARN	annotation_whitespace	MiD3i	has_exact_synonym	middle dorsal 3 ipsilateral interneuron 
WARN	annotation_whitespace	RoL2	has_exact_synonym	rostral lateral 2 interneuron 
WARN	annotation_whitespace	RoL2r	has_exact_synonym	rostral lateral 2 rostral interneuron 
WARN	annotation_whitespace	RoL2c	has_exact_synonym	rostral lateral 2 caudal interneuron 
WARN	annotation_whitespace	RoL3	has_exact_synonym	rostral lateral 3 interneuron 
WARN	annotation_whitespace	RoM1c	has_exact_synonym	rostral medial 1 caudal interneuron 
WARN	annotation_whitespace	RoM1r	has_exact_synonym	rostral medial 1 rostral interneuron 
WARN	annotation_whitespace	RoV3	has_exact_synonym	rostral ventral 3 interneuron 
WARN	annotation_whitespace	RoM2l	has_exact_synonym	rostral medial 2 lateral interneuron 
WARN	annotation_whitespace	RoM2m	has_exact_synonym	rostral medial 2 medial interneuron 
WARN	annotation_whitespace	RoM3l	has_exact_synonym	rostral medial 3 lateral interneuron 
WARN	annotation_whitespace	RoM3m	has_related_synonym	rostral medial 3 medial interneuron 
WARN	annotation_whitespace	renal glomerular capsule	has_exact_synonym	Bowman's capsule 
WARN	annotation_whitespace	primordial ligament	has_exact_synonym	articular-maxillary ligament 
WARN	annotation_whitespace	primordial ligament	has_exact_synonym	ligamentum primordiale 
WARN	annotation_whitespace	pronephric glomerular capsule	has_exact_synonym	Bowman's capsule 
WARN	annotation_whitespace	posterior recess	has_exact_synonym	recessus posterior 
WARN	annotation_whitespace	dorsal fin lepidotrichium 1	has_exact_synonym	dorsal fin ray 1 
WARN	annotation_whitespace	caudal fin principal ray 1	has_exact_synonym	caudal principal lepidotrichium 1 
WARN	annotation_whitespace	caudal fin principal ray 1	has_exact_synonym	caudal principal ray 1 
WARN	annotation_whitespace	caudal fin principal ray 3	has_exact_synonym	caudal principal lepidotrichium 3 
WARN	annotation_whitespace	caudal fin principal ray 2	has_exact_synonym	caudal principal lepidotrichium 2 
WARN	annotation_whitespace	caudal fin principal ray 4	has_exact_synonym	caudal principal lepidotrichium 4 
WARN	annotation_whitespace	proximal pars anterior	has_exact_synonym	 proximal pars distalis
WARN	annotation_whitespace	lG2	has_exact_synonym	lcG2 
WARN	annotation_whitespace	lg5	has_exact_synonym	lcG5 
WARN	annotation_whitespace	mdG1	has_exact_synonym	mediodorsal posterior glomerulus 1 
WARN	annotation_whitespace	mdG2	has_exact_synonym	mdpG2 
WARN	annotation_whitespace	maGx	has_related_synonym	medial anterior glomeruli 
WARN	annotation_whitespace	medial protoglomerulus 1	has_related_synonym	MG1 
WARN	annotation_whitespace	pancreatic PP cell	has_related_synonym	pancreatic F cells 
WARN	annotation_whitespace	fertilized egg	has_exact_synonym	zygote 
WARN	annotation_whitespace	hypocretin-secreting neuron	has_related_synonym	orexin secreting neuron 
WARN	annotation_whitespace	T interneuron	has_related_synonym	T shaped reticular neuron 
WARN	annotation_whitespace	dorsal interfilamental caudal muscle	has_exact_synonym	"interfilamenti caudalis dorsalis	"
WARN	annotation_whitespace	deep lateral ventral muscle	has_exact_synonym	lateralis profundus ventralis 
WARN	annotation_whitespace	lymphatic branchial arch 4	has_exact_synonym	LAA4 
WARN	annotation_whitespace	medial facial lymph vessel	has_exact_synonym	MFL 
WARN	annotation_whitespace	nucleus of the caudal commissure	has_exact_synonym	 nuc PC
WARN	annotation_whitespace	nucleus of the caudal commissure	has_related_synonym	nucleus of the tract of the posterior commissure 
WARN	annotation_whitespace	griseum tectale	has_exact_synonym	tectal grey 
WARN	annotation_whitespace	tract of the commissure of the caudal tuberculum	has_exact_synonym	 TCPT
WARN	annotation_whitespace	lateral basicapsular commissure	has_exact_synonym	 lateral  basicranial commissure
WARN	annotation_whitespace	lateral basicapsular commissure	has_related_synonym	lateral commissure 
WARN	annotation_whitespace	coronoid process	has_exact_synonym	 coronoid process of Meckel's cartilage
WARN	annotation_whitespace	tectal neuropile	has_related_synonym	synaptic neuropil 
WARN	annotation_whitespace	presumptive preglomerular region	has_related_synonym	preglomerular anlagen 
WARN	annotation_whitespace	argentum	has_exact_synonym	argenta 
WARN	annotation_whitespace	migratory muscle precursor	has_exact_synonym	migratory mesenchymal precursor 
WARN	annotation_whitespace	posterior hypaxial muscle	has_exact_synonym	anterior hypaxial muscle 
WARN	annotation_whitespace	posterior hypaxial muscle	has_exact_synonym	ventral-most hypaxial muscle 
WARN	annotation_whitespace	norepinephrine secreting cell	has_exact_synonym	 noradrenergic cell
WARN	annotation_whitespace	immature natural killer cell	has_exact_synonym	immature NK cell 
WARN	duplicate_exact_synonym	renal capsular space	has_exact_synonym	urinary space
WARN	duplicate_exact_synonym	pronephric capsular space	has_exact_synonym	urinary space
WARN	duplicate_exact_synonym	rostral octaval nerve motor nucleus	has_exact_synonym	rostral cranial nerve VIII motor nucleus
WARN	duplicate_exact_synonym	caudal octaval nerve motor nucleus	has_exact_synonym	rostral cranial nerve VIII motor nucleus
WARN	duplicate_exact_synonym	renal capsular space	has_exact_synonym	inter-glomerular space
WARN	duplicate_exact_synonym	pronephric capsular space	has_exact_synonym	inter-glomerular space
WARN	duplicate_exact_synonym	follicle stimulating hormone secreting cell	has_exact_synonym	gonadotrope
WARN	duplicate_exact_synonym	luteinizing hormone secreting cell	has_exact_synonym	gonadotrope
WARN	duplicate_exact_synonym	renal capsular space	has_exact_synonym	Bowman's space
WARN	duplicate_exact_synonym	pronephric capsular space	has_exact_synonym	Bowman's space
WARN	duplicate_exact_synonym	renal glomerular capsule	has_exact_synonym	Bowman's capsule 
WARN	duplicate_exact_synonym	pronephric glomerular capsule	has_exact_synonym	Bowman's capsule 
WARN	duplicate_exact_synonym	supracleithrum-vertebral ligament	has_exact_synonym	Baudelot's ligament
WARN	duplicate_exact_synonym	cleithrum-vertebral ligament	has_exact_synonym	Baudelot's ligament
WARN	missing_definition	part of	definition	
WARN	missing_definition	has_part	definition	
WARN	missing_definition	definition	definition	
WARN	missing_definition	term replaced by	definition	
WARN	missing_definition	overlaps	definition	
WARN	missing_definition	develops from	definition	
WARN	missing_definition	endoderm	definition	
WARN	missing_definition	intermediate cell mass of mesoderm	definition	
WARN	missing_definition	median axial vein	definition	
WARN	missing_definition	mesoderm	definition	
WARN	missing_definition	postoptic commissure	definition	
WARN	missing_definition	spinal cord	definition	
WARN	missing_definition	tail bud	definition	
WARN	missing_definition	trunk mesenchyme	definition	
WARN	missing_definition	ventral mesoderm	definition	
WARN	missing_definition	lateral plate mesoderm	definition	
WARN	missing_definition	olfactory pit	definition	
WARN	missing_definition	tectal ventricle	definition	
WARN	missing_definition	ventral mesenchyme	definition	
WARN	missing_definition	caudal oblique	definition	
WARN	missing_definition	dorsal transverse	definition	
WARN	missing_definition	facial nerve motor nucleus	definition	
WARN	missing_definition	infracarinalis	definition	
WARN	missing_definition	intermediate reticular formation	definition	
WARN	missing_definition	internal levator	definition	
WARN	missing_definition	medial forebrain bundle diencephalon	definition	
WARN	missing_definition	midline column	definition	
WARN	missing_definition	nucleus Edinger-Westphal	definition	
WARN	missing_definition	cranial nerve VIII	definition	
WARN	missing_definition	cranial nerve I	definition	
WARN	missing_definition	pars subcommissuralis of ventral telencephalon	definition	
WARN	missing_definition	pharyngohyoid	definition	
WARN	missing_definition	pretecto-mammillary tract	definition	
WARN	missing_definition	rostral tegmental nucleus	definition	
WARN	missing_definition	rostrolateral thalamic nucleus of Butler & Saidel	definition	
WARN	missing_definition	secondary gustatory nucleus medulla oblongata	definition	
WARN	missing_definition	supracarinalis	definition	
WARN	missing_definition	uncrossed tecto-bulbar tract	definition	
WARN	missing_definition	ventrolateral thalamic nucleus	definition	
WARN	missing_definition	caudal levator	definition	
WARN	missing_definition	caudal octaval nucleus	definition	
WARN	missing_definition	central zone of the optic tectum	definition	
WARN	missing_definition	commissure infima of Haller	definition	
WARN	missing_definition	mesovarium	definition	
WARN	missing_definition	crossed tecto-bulbar tract	definition	
WARN	missing_definition	habenular commissure	definition	
WARN	missing_definition	intermediate thalamic nucleus	definition	
WARN	missing_definition	internal pharyngoclavicularis	definition	
WARN	missing_definition	interpeduncular nucleus medulla oblongata	definition	
WARN	missing_definition	lateral lemniscus nucleus	definition	
WARN	missing_definition	lateral line sensory nucleus	definition	
WARN	missing_definition	motor nucleus of vagal nerve	definition	
WARN	missing_definition	medial funicular nucleus medulla oblongata	definition	
WARN	missing_definition	octaval nerve sensory nucleus	definition	
WARN	missing_definition	renal artery	definition	
WARN	missing_definition	sensory trigeminal nucleus	definition	
WARN	missing_definition	skeletal system	definition	
WARN	missing_definition	suspensorium	definition	
WARN	missing_definition	tecto-bulbar tract	definition	
WARN	missing_definition	trochlear motor nucleus	definition	
WARN	missing_definition	ventral thalamus	definition	
WARN	missing_definition	ventromedial thalamic nucleus	definition	
WARN	missing_definition	branchial adductor	definition	
WARN	missing_definition	celiacomesenteric artery	definition	
WARN	missing_definition	coracoradialis	definition	
WARN	missing_definition	decussation of medial funicular nucleus	definition	
WARN	missing_definition	deep white zone	definition	
WARN	missing_definition	dorsal funiculus	definition	
WARN	missing_definition	dorsal oblique branchial muscle	definition	
WARN	missing_definition	dorsal retractor	definition	
WARN	missing_definition	external levatores	definition	
WARN	missing_definition	glossopharyngeal lobe	definition	
WARN	missing_definition	horizontal commissure	definition	
WARN	missing_definition	inferior reticular formation	definition	
WARN	missing_definition	lateral column	definition	
WARN	missing_definition	lateral funiculus	definition	
WARN	missing_definition	lateral reticular nucleus	definition	
WARN	missing_definition	magnocellular octaval nucleus	definition	
WARN	missing_definition	medial column	definition	
WARN	missing_definition	mouth	definition	
WARN	missing_definition	oculomotor nucleus	definition	
WARN	missing_definition	saccus dorsalis	definition	
WARN	missing_definition	superior reticular formation medial column	definition	
WARN	missing_definition	ventral funiculus	definition	
WARN	missing_definition	ventral oblique branchial muscle	definition	
WARN	missing_definition	ventral transverse	definition	
WARN	missing_definition	decussation of the medial octavolateralis nucleus	definition	
WARN	missing_definition	descending octaval nucleus	definition	
WARN	missing_definition	dorsal horn spinal cord	definition	
WARN	missing_definition	dorsal motor root of V	definition	
WARN	missing_definition	dorsomedial optic tract	definition	
WARN	missing_definition	external pharyngoclavicularis	definition	
WARN	missing_definition	rostral root of abducens nerve	definition	
WARN	missing_definition	segmental intercostal artery	definition	
WARN	missing_definition	sensory root of facial nerve	definition	
WARN	missing_definition	spinal artery	definition	
WARN	missing_definition	superficial grey and white zone	definition	
WARN	missing_definition	supraoptic commissure	definition	
WARN	missing_definition	telencephalic ventricle	definition	
WARN	missing_definition	ventral horn spinal cord	definition	
WARN	missing_definition	ventrolateral optic tract	definition	
WARN	missing_definition	vestibulo-spinal tract	definition	
WARN	missing_definition	viscerosensory commissural nucleus of Cajal	definition	
WARN	missing_definition	medial migration pathway mesenchyme	definition	
WARN	missing_definition	mesenchyme derived from head neural crest	definition	
WARN	missing_definition	nucleus of the medial longitudinal fasciculus medulla oblongata	definition	
WARN	missing_definition	primary neuron hindbrain	definition	
WARN	missing_definition	interpeduncular nucleus tegmentum	definition	
WARN	missing_definition	lateral mesenchyme derived from mesoderm	definition	
WARN	missing_definition	medial forebrain bundle telencephalon	definition	
WARN	missing_definition	superior reticular formation tegmentum	definition	
WARN	missing_definition	ventral rhombencephalic commissure medulla oblongata	definition	
WARN	missing_definition	intermediate mesenchyme	definition	
WARN	missing_definition	lateral migration pathway mesenchyme	definition	
WARN	missing_definition	mesenchyme derived from head mesoderm	definition	
WARN	missing_definition	mesenchyme derived from trunk neural crest	definition	
WARN	missing_definition	posterior caudal vein	definition	
WARN	missing_definition	lateral mesoderm	definition	
WARN	missing_definition	epaxial myotome region	definition	
WARN	missing_definition	hypaxial myotome region	definition	
WARN	missing_definition	myoseptum	definition	
WARN	missing_definition	pharyngeal endoderm	definition	
WARN	missing_definition	neuroectoderm	definition	
WARN	missing_definition	pharyngeal pouch 1	definition	
WARN	missing_definition	pharyngeal pouches 2-6	definition	
WARN	missing_definition	pharyngeal pouch 2	definition	
WARN	missing_definition	pharyngeal pouch 3	definition	
WARN	missing_definition	pharyngeal pouch 6	definition	
WARN	missing_definition	pharyngeal pouch 5	definition	
WARN	missing_definition	pharyngeal pouch 4	definition	
WARN	missing_definition	roof plate spinal cord region	definition	
WARN	missing_definition	non neural ectoderm	definition	
WARN	missing_definition	ventral lateral mesoderm	definition	
WARN	missing_definition	intermediate mesoderm	definition	
